__label__very_positive	amazing
__label__positive	This home is luxurious ğŸ 
__label__positive	this is house of today
__label__positive	Such a lovely design
__label__very_positive	Love love love this home
__label__positive	This house is amazing
__label__very_positive	What a great one
__label__positive	House goals!
__label__very_positive	This is outstanding exterior design. Looks so elegant. Love it! ğŸ‘ŒğŸ‘Œ
__label__neutral	ğŸŒğŸ’ˆ
__label__positive	I love it man
__label__positive	That kitchen is amazing!
__label__positive	Love this one
__label__very_positive	That really is fantastic ğŸ‘Š
__label__very_positive	I just adore this house!ğŸ˜
__label__very_positive	omg just such a dream home!ğŸ™€ğŸ˜
__label__very_positive	Wow thatâ€™s such a cool home design!ğŸ™ğŸ¼
__label__positive	Keep putting out good contents
__label__positive	Well this design looks so outstanding!
__label__positive	Nice
__label__very_positive	Love this house! Wow ğŸ˜ğŸ˜ğŸ˜
__label__positive	I love the architecture
__label__positive	That is a great house
__label__positive	Just love this pool
__label__very_positive	AMAZING PICTURE!!ğŸ˜
__label__very_positive	This post is top ğŸ‘†ğŸ˜Š
__label__very_positive	Wow that's awesome ğŸ˜
__label__positive	Love the sleek design!
__label__positive	Love that house! Looks really good
__label__positive	I really want the pool!!
__label__very_positive	Such a beautiful property
__label__very_positive	Amazing home
__label__neutral	Show
__label__positive	This should be house of the year?
__label__positive	Great style, well done!
__label__positive	Love the lit up backyard
__label__positive	ğŸ˜Š
__label__positive	really beautiful place
__label__very_positive	Terrific!
__label__very_positive	Beautiful home! Just love that kitchen ğŸ’™ğŸ’™
__label__positive	beautiful
__label__positive	Love this very cool house!! It has all the bells and whistles!!!
__label__very_positive	Dream house!!! Vero nice ğŸ‘ğŸ‘
__label__very_positive	This house looks so beautiful!!!ğŸ˜ğŸ’•
__label__very_positive	Wow! I would love to live here
__label__positive	those are the taps I was talking about in the bathroom!!
__label__positive	thatâ€™s the nice colour I was thinking of ğŸ˜‚ Black is still ugly soz haha
__label__very_positive	awesome ğŸ˜ğŸ˜
__label__negative	That house is sick!
__label__positive	I love this post! ğŸ˜
__label__positive	Keep up the great work!ğŸ‘
__label__very_positive	Awesome exterior and design! Keep it up! ğŸ‘ğŸ‘
__label__very_positive	Wow, such an amazing style! Love your page! â˜ºï¸ğŸ‘
